ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
6,Two or More Races,0,Not Hispanic or Latino,2017,2017,378.2512393,"Inglewood, CA",16000US0636546,inglewood-ca,1976,0.01780084
6,Two or More Races,1,Hispanic or Latino,2017,2017,634.2144748,"Inglewood, CA",16000US0636546,inglewood-ca,2161,0.019467416
0,White Alone,0,Not Hispanic or Latino,2016,2016,477,"Inglewood, CA",16000US0636546,inglewood-ca,4083,0.036779808
0,White Alone,1,Hispanic or Latino,2016,2016,1741,"Inglewood, CA",16000US0636546,inglewood-ca,25615,0.230740821
1,Black or African American Alone,0,Not Hispanic or Latino,2016,2016,1665,"Inglewood, CA",16000US0636546,inglewood-ca,46560,0.419414117
1,Black or African American Alone,1,Hispanic or Latino,2016,2016,422,"Inglewood, CA",16000US0636546,inglewood-ca,1070,0.009638598
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2016,2016,63,"Inglewood, CA",16000US0636546,inglewood-ca,101,0.000909812
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2016,2016,264,"Inglewood, CA",16000US0636546,inglewood-ca,575,0.00517962
3,Asian Alone,0,Not Hispanic or Latino,2016,2016,341,"Inglewood, CA",16000US0636546,inglewood-ca,1443,0.012998595
3,Asian Alone,1,Hispanic or Latino,2016,2016,49,"Inglewood, CA",16000US0636546,inglewood-ca,38,0.000342305
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2016,2016,173,"Inglewood, CA",16000US0636546,inglewood-ca,315,0.002837531
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2016,2016,53,"Inglewood, CA",16000US0636546,inglewood-ca,37,0.000333297
5,Some Other Race Alone,0,Not Hispanic or Latino,2016,2016,216,"Inglewood, CA",16000US0636546,inglewood-ca,531,0.004783267
5,Some Other Race Alone,1,Hispanic or Latino,2016,2016,1667,"Inglewood, CA",16000US0636546,inglewood-ca,26483,0.238559795
6,Two or More Races,0,Not Hispanic or Latino,2016,2016,481.7053041,"Inglewood, CA",16000US0636546,inglewood-ca,2174,0.019583468
6,Two or More Races,1,Hispanic or Latino,2016,2016,584.0359578,"Inglewood, CA",16000US0636546,inglewood-ca,1987,0.017898966
0,White Alone,0,Not Hispanic or Latino,2015,2015,470,"Inglewood, CA",16000US0636546,inglewood-ca,3789,0.034009209
0,White Alone,1,Hispanic or Latino,2015,2015,1881,"Inglewood, CA",16000US0636546,inglewood-ca,28252,0.253583578
1,Black or African American Alone,0,Not Hispanic or Latino,2015,2015,1360,"Inglewood, CA",16000US0636546,inglewood-ca,46458,0.416996526
1,Black or African American Alone,1,Hispanic or Latino,2015,2015,285,"Inglewood, CA",16000US0636546,inglewood-ca,783,0.007028031
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2015,2015,36,"Inglewood, CA",16000US0636546,inglewood-ca,46,0.000412886
